"title","author","journal","number","cites","year","cid","pubid","id","url"
"PGG.SNV: understanding the evolutionary and medical implications of human single nucleotide variations in diverse populations","C Zhang, Y Gao, Z Ning, Y Lu, X Zhang, J Liu, B Xie, Z Xue, X Wang, K Yuan, X Ge, Y Pan, C Liu, L Tian, Y Wang, D Lu, B-P Hoh, S Xu","Genome biology","20, 1-16",40,2019,"497080213284749301","u-x6o8ySG0sC","n53QNesAAAAJ","https://link.springer.com/article/10.1186/s13059-019-1838-5"
"PGG.Population: a database for understanding the genomic diversity and genetic ancestry of human populations","C Zhang, Y Gao, J Liu, Z Xue, Y Lu, L Deng, L Tian, Q Feng, S Xu","Nucleic Acids Research","46 (D1), D984-D993",14,2018,"1403331255269232614","d1gkVwhDpl0C","n53QNesAAAAJ","https://academic.oup.com/nar/article-abstract/46/D1/D984/4584633"
"Climate and mountains shaped human ancestral genetic lineages","PM Delser, M Krapp, R Beyer, ER Jones, EF Miller, A Hovhannisyan, M Parker, V Siska, MT Vizzari, EJ Pearmain, I Imaz-Rosshandler, M Leonardi, GL Somma, J Hodgson, E Tysall, Z Xue, L Cassidy, DG Bradley, A Eriksson, A Manica","BioRxiv","2021.07. 13.452067",8,2021,"8462073074366074667","qjMakFHDy7sC","n53QNesAAAAJ","https://www.biorxiv.org/content/10.1101/2021.07.13.452067.abstract"
"Post-glacial expansion dynamics, not refugial isolation, shaped the genetic structure of a migratory bird, the Yellow Warbler (Setophaga petechia)","EF Miller, M Leonardi, Z Xue, R Beyer, M Krapp, M Somveille, GL Somma, PM Delser, A Manica","bioRxiv","2021.05. 10.443405",7,2021,"6083697634160705390","IjCSPb-OGe4C","n53QNesAAAAJ","https://www.biorxiv.org/content/10.1101/2021.05.10.443405.abstract"
"Demographic history and genetic variation of the Armenian population","A Hovhannisyan, PM Delser, A Hakobyan, ER Jones, JG Schraiber, M Antonosyan, A Margaryan, Z Xue, S Jeon, J Bhak, P Hrechdakian, H Sahakyan, L Saag, Z Khachatryan, L Yepiskoposyan, A Manica","The American Journal of Human Genetics","112 (1), 11-27",0,2025,NA,"8k81kl-MbHgC","n53QNesAAAAJ","https://www.cell.com/ajhg/fulltext/S0002-9297(24)00391-4"
"The Mesolithic Hunter–Gatherer Camp Site at Sammakko in Norrbotten, Northernmost Sweden—Archeological Finds and Palaeoenvironmental Reconstruction","P Möller, F Palmbo, AB Nielsen, E Boman, H Dong, S Björck, Y Cai, J Grimbe, R Macleod, M Shen, Y Wang, M Westerlund, Z Xue","Geoarchaeology","40 (1), e22030",0,2025,NA,"MXK_kJrjxJIC","n53QNesAAAAJ","https://onlinelibrary.wiley.com/doi/abs/10.1002/gea.22030"
