"","file_csv","gscholar_id","group_start","papers_name","title","subtitle","sortby","image","path","paper_name","destination","papers_end"
"38",NA,NA,"1998","M Krapp","Mario Krapp","Postdoc","Krapp Mario",NA,NA,NA,"Research Fellow in Wellington, New Zealand","2026"
"39",NA,NA,"2019","TS Korneliussen","Thorfinn Korneliussen","Postdoc - Carlsberg Postdoctoral Fellow","Korneliussen Thorfinn",NA,NA,NA,"Assistant Professor at the Natural History Museum of Denmark, Denmark","2022"
"40",NA,NA,"1998","L Loog","Liisa Loog","Visiting PhD Student","Loog Liisa",NA,NA,NA,"Postdoc at Manchester University, UK","2026"
"41",NA,NA,"1998","PM Delser","Pier Paolo Maisano Delser","Postdoc","Maisano Delser Pier Paolo",NA,NA,NA,"Evidence and Intelligence Lead at NHS England, UK","2026"
"42",NA,NA,"1998","EF Miller","Eleanor Miller","Postdoc","Miller Eleanor",NA,NA,NA,"Senior Data Manager at Imperial College London, UK","2026"
"43",NA,NA,"1998","GB Nanninga","Gerrit Nanninga","Postdoc - Marie Curie Postdoctoral Fellow","Nanninga Gerrit",NA,NA,NA,"Lecturer at Essex University, UK","2026"
"44",NA,NA,"1998","MW Pedersen","Mikkel Winther Pedersen","Postdoc","Pedersen Mikkel",NA,NA,NA,"Assistant Professor at the Natural History Museum of Denmark, Denmark","2022"
"45",NA,NA,"1998","RJ Riley","Riva Riley","PhD student","Riley Riva",NA,NA,NA,"Postdoc at University College London,UK","2022"
"46",NA,NA,"1998","V Siska","Veronika Siska","PhD student","Siska Veronika",NA,NA,NA,"Data analyst with Ablacon, UK","2026"
"47",NA,NA,"1998",NA,"Gian Luigi Somma","Postdoc","Somma Gian Luigi",NA,NA,NA,"System Engineer at D-Orbit, UK","2026"
"48",NA,NA,"1998","JLY Spaet","Julia Spaet","Postdoc","Spaet Julia",NA,NA,NA,NA,"2026"
"49",NA,NA,"1998","V Warmuth","Vera Warmuth","PhD student","Warmuth Vera",NA,NA,NA,"Postdoc at University College London, UK","2026"
"50",NA,NA,"1998","C Horswill","Cat Horswill","PhD student","Horswill Cat",NA,NA,NA,"Research Fellow at University College London, UK","2026"
"51",NA,NA,"1998","M Somveille","Marius Somveille","PhD Student","Somveille Marius",NA,NA,NA,"Research Fellow at University College London, UK","2026"
"52",NA,NA,"1998",NA,"Madeleine Emms","PhD Student","Emms Madeleine",NA,NA,NA,"Postdoc at Istituto di genetica e biofisica in Naples, Italy ","2026"
"53",NA,NA,"1998",NA,"Jason Hodgson","Postdoc","Hodgson Jason",NA,NA,NA,"Senior lecturer at Anglia Rusking University, UK","2026"
"54",NA,NA,"1998","JA Kennerley","James Kennerley","PhD student","Kennerley James",NA,NA,NA,"Research Fellow at Cornell Lab of Ornithology, US","2026"
"55",NA,NA,"1998","M Fusco","Marianna Fusco","Phd student - visiting","Fusco Marianna",NA,NA,NA,"Postdoc at Sapienza University of Rome, Italy","2026"
"56",NA,NA,"1998",NA,"Paul Breeze","Postdoc","Breeze Paul",NA,NA,NA,"Lecturer at King's College London, UK","2026"
